symptom_name,symptom_id
mouth ulcers,s_1
vaginal sexual intercourse in recent months,s_2
activity related to sex despite negative consequences,s_3
apathy,s_4
appetite for salty foods,s_6
female infertility,s_7
diarrhea,s_8
pale skin,s_9
pale and brittle nails,s_10
joint pain hip,s_11
abdominal pain,s_13
abdominal pain exacerbating on an empty stomach,s_14
abdominal pain exacerbating during coughing or movement,s_15
abdominal pain postprandial,s_16
abdominal pain premenstrual,s_17
gum pain,s_19
pharyngeal pain,s_20
headache,s_21
headache unilateral,s_22
headache pressing,s_23
headache generalized,s_24
headache pulsating,s_25
pain in crotch,s_28
chest pain exacerbating with deep breath or cough,s_30
chest pain continues after rest,s_31
painful intercourse,s_32
painful ejaculation,s_33
pain in crotch sudden,s_34
chest pain during exertion,s_35
chest pain radiating to the neck,s_36
chest pain radiating between shoulder blades,s_37
back pain lumbar radiates to back of the thigh,s_38
pain while urinating,s_39
joint pain severe after trauma,s_41
skin pain severe,s_43
joint pain,s_44
earache,s_47
chest pain subsides during rest,s_48
chest pain,s_50
chest pain diffuse,s_51
pain in scrotum,s_52
back pain lumbar,s_53
pain near eye socket,s_54
toothache after contact with cold sweet or hot food,s_55
toothache when chewing,s_56
abdominal pain reduced by defecation or relieving flatulence,s_57
dysmenorrhea,s_59
pain in glans penis,s_60
vaginal discharge with unpleasant odor,s_64
halitosis,s_65
snoring,s_67
dysphonia,s_68
preoccupation with food,s_69
black stools,s_71
red and stinging conjunctivae,s_72
red stretch marks on abdomen hips or thighs,s_73
sexual activity more often or with more partners than intended,s_74
frequent urination large quantities,s_75
fine downy hair,s_77
joint pain hallux,s_79
irritability when unable to engage in activity related to sex,s_80
chills,s_81
tremors subside after drinking alcohol,s_84
head tremors,s_85
tremors in one hand,s_86
tremors both hands,s_87
dyspnea,s_88
dyspnea lasting 1 day to 4 weeks,s_90
dyspnea lasting less than 1 hour,s_92
smoking large quantity of cigarettes,s_93
deep filling of treated tooth,s_97
fever,s_98
fever between 37 and 38,s_99
fever between 38 and 40,s_100
papule or nodule smaller than 1 cm in diameter,s_101
cough,s_102
cough lasting less than three weeks,s_103
cough productive,s_104
cough dry,s_105
cough lasting more than eight weeks,s_106
nasal catarrh,s_107
deepening of periodontal pockets,s_108
drinking alcohol to ease hangover,s_109
palpitations,s_110
bleeding gums,s_111
blood in stool,s_112
blood in urine,s_113
bleeding from anus,s_115
hemoptysis,s_116
calf muscle spasms,s_117
cold sensitivity,s_118
anxiety,s_120
hair loss,s_121
excessive tear production,s_122
problems with everyday tasks such as washing eating dressing,s_123
scotoma,s_124
paresthesia both feet,s_125
paresthesia around the mouth,s_126
obsessions,s_127
excess hair growth,s_132
difficulty not smoking first cigarette of the day,s_134
sneezing attacks,s_136
binge-eating attacks,s_137
recurrent tonsils inflammation,s_139
recurrent gastric ulcers,s_142
nervousness or weepiness,s_143
agitation,s_145
forgetting names of close friends and family,s_146
history of anemia,s_147
paresis,s_148
unilateral facial paresis,s_149
inability to stop drinking alcohol,s_150
bleeding after intercourse,s_152
urinary incontinence,s_153
low self-esteem,s_155
nausea,s_156
fear of obesity,s_157
heavy or prolonged menstrual periods,s_158
back pain exacerbated by physical exertion,s_159
symptoms regularly appear a few days before menstrual period,s_161
symptoms appear after taking painkillers or a change in diet,s_162
depressed mood,s_169
edema knee joint,s_170
edema ankle joint,s_171
swollen gums,s_172
edema one lower limb,s_173
edema joint,s_174
edema both lower limbs,s_175
edema scrotum,s_176
swollen cheek,s_177
erythema limb hot to the touch,s_179
hypopigmentation of the skin,s_180
constant need for sex,s_181
nocturia,s_182
urination while coughing or laughing or during physical exertion,s_183
oliguria,s_185
restricted mobility problem bending over,s_186
seizures with loss of consciousness,s_189
loss of consciousness with urination or defecation,s_190
head drop,s_191
blepharoptosis,s_192
ulceration on nipple,s_194
current cigarette smoking,s_195
cigarette smoking during illness,s_196
drinking large quantities of alcohol,s_198
drinking large quantities of alcohol at one time,s_199
burning tongue,s_200
stinging eyes and feeling of sand under eyelids,s_201
erythema migrans,s_202
dental plaque,s_203
forward-leaning posture,s_204
feeling of guilt,s_205
feeling of guilt or shame after drinking alcohol,s_206
diplopia,s_207
decreased hearing,s_208
miscarriage,s_212
spending a lot of time on sex-related activity,s_213
sweating of forehead on painful side,s_214
frequent urination,s_215
excessive sweating,s_216
sweating night,s_217
enlarged breasts,s_219
enlarged lymph nodes,s_220
surface of lesion on genitals resembling cauliflower,s_221
inability to stop flow of urine,s_223
premature graying,s_225
weight gain,s_226
tachypnea,s_227
loose teeth,s_228
erythema,s_229
erythema facial butterfly-shaped,s_230
toothache strong reaction to heat,s_231
pain in lower limb calf severe while walking,s_232
toothache severe,s_233
easy bruising,s_234
eyelid twitching,s_235
decreased libido,s_236
weight loss without loss of appetite,s_237
slower gait,s_238
dermatological changes,s_241
using methods to lose weight: vomiting starvation diets,s_243
fear of object situation action,s_244
dermatological changes scabs,s_245
dry mouth,s_247
itching around anus,s_249
pruritus most intense at night,s_250
pruritus aggravated by change in temperature sweating or wearing wool,s_251
itchy throat or nose,s_252
genital itch,s_253
pruritus,s_254
itching in ear,s_255
trismus,s_256
stiffness of spine in the morning,s_257
morning stiffness of hand joints,s_258
spine or joint stiffness subsiding after exercise,s_259
tachycardia,s_261
phimosis,s_263
difficulty refraining from smoking cigarettes where not permitted,s_265
difficulty biting and chewing,s_266
difficulty determining which tooth hurts,s_267
paresis upper limbs,s_268
difficulty acquiring new information,s_269
creaking joints during movement,s_270
smooth face without wrinkles,s_271
enamel lesions caries,s_272
heavy legs at the end of the day,s_273
feeling hot,s_274
clogged ear,s_276
increased abdominal girth,s_277
feeling pressure or pulsation inside the tooth,s_279
hot flashes,s_280
physical injury to self or others after drinking alcohol,s_281
diminished appetite,s_284
weight loss,s_285
loss of interest in activities previously enjoyed lasting at least two weeks,s_287
close family or friends pointing out excessive drinking,s_288
malocclusions,s_289
visible and palpable enlarged vein of limb chest or abdomen,s_290
ear canal swelling,s_291
discharge from ear,s_297
abdominal mass,s_299
nodule located in breast,s_300
discharge under foreskin,s_301
discharge from periodontal pockets,s_302
compulsive behavior,s_303
vomiting,s_305
hematemesis,s_306
